id,name,popTotal,pop15,married15,wds15,never15,pop25,married25, wds25,never25,pop35,married35,wds35,never35,pop60,married60,w60,divorced60,never60,ratio,Hindu,Buddhist,Christian,Orthodox,Mormon,Muslim,Jewish,RomanCatholic,Protestant,Atheist,Nothing in particular,Agnostic,AgNot
23,Maine,1028823,158930,10.4,1.4,88.2,156615,57,11.3,31.6,473848,70.2,20.2,9.5,239430,58.8,26.9,9.7,4.6,2.85,0,0.01,0,0,0.01,0,0.01,0.27,0.45,0.03,0.15,0.05,0.2
24,Maryland,4159636,664041,9.4,1.3,89.3,744251,51,9.7,39.3,1950592,66.7,19.4,13.9,800752,56.7,27.9,10.5,4.9,2.865,0.02,0.02,0.02,0.01,0,0,0.05,0.19,0.52,0.02,0.11,0.03,0.14
25,Massachusetts,5091369,818094,7.8,1,91.1,920320,48,7.2,44.9,2256946,67.4,17.5,15,1096009,55.2,28.1,9.2,7.6,2.997,0.01,0.02,0.01,0.02,0,0,0.04,0.42,0.28,0.02,0.1,0.04,0.15
26,Michigan,7775603,1359662,10,1.2,88.8,1356469,54.2,9.9,35.9,3463188,68.8,19.6,11.6,1596284,58.6,27.5,9.8,4.2,2.94,0,0.01,0.02,0.01,0,0.01,0.01,0.24,0.53,0.01,0.11,0.03,0.14
27,Minnesota,3857755,693410,10.1,1.1,88.8,671032,56.9,8.1,35.1,1721991,72.3,16.4,11.3,771322,61.7,25.7,7.8,4.9,3.605,0,0.01,0.02,0,0,0.01,0.01,0.27,0.55,0.01,0.09,0.01,0.1
28,Mississippi,2203615,446098,14.8,2.5,82.7,375302,55.6,13.1,31.3,924945,65.8,22.8,11.4,457270,54.8,31.6,9.7,3.9,2.465,0,0,0,0,0.01,0,0,0.08,0.85,0,0.04,0,0.04
29,Missouri,4414391,779485,14.2,2.1,83.6,735328,57.6,12.4,30,1916315,69.4,20.9,9.8,983263,59.4,27.6,9.3,3.7,2.811,0,0,0.02,0,0.01,0,0.01,0.18,0.62,0.01,0.1,0.02,0.12
30,Montana,715915,129294,13.8,1.7,84.5,102468,58.5,12.2,29.3,324980,72.2,19.5,8.4,159173,61.6,25.2,9.8,3.3,3.068,0,0.01,0,0,0.03,0,0,0.23,0.5,0.02,0.16,0.04,0.19
31,Nebraska,1342422,255181,13,1.6,85.4,221838,60.6,10.5,28.9,569162,73.7,17.1,9.1,296241,61.7,26.9,7.3,4.1,3.406,0,0,0,0,0,0,0,0.28,0.57,0,0.09,0.02,0.12
32,Nevada,1563580,253404,17,2.7,80.2,305746,55.2,13.1,31.6,700969,63.6,25.2,11.2,303461,58.6,22.6,15.3,3.5,2.468,0,0,0.03,0.03,0.12,0.02,0.02,0.26,0.27,0.02,0.17,0.01,0.18
33,New Hampshire,978641,154654,8.4,1.1,90.4,159712,57.7,9.7,32.5,469534,72.1,18.7,9.2,194741,60.1,25.6,9.8,4.5,3.224,0,0.01,0.03,0,0.01,0,0.02,0.29,0.33,0.04,0.18,0.02,0.2
34,New Jersey,6655333,997534,8.3,1.1,90.5,1175113,51.7,7.3,41,3039030,70.2,16.7,13.1,1443656,56.2,29.1,8.8,5.9,3.157,0.04,0.01,0.01,0.03,0,0.01,0.07,0.41,0.3,0.01,0.08,0.02,0.1
35,New Mexico,1398496,263695,14.4,2.1,83.5,231391,54.8,11.2,34,620124,65.9,22.1,12.1,283286,59.4,24.7,12,3.9,2.722,0,0.03,0.02,0,0.02,0,0.02,0.25,0.46,0.01,0.15,0.01,0.16
36,New York,15055876,2513340,9.6,1.3,89.1,2727492,47,8.1,44.9,6612282,65,18.9,16.2,3202762,53.6,28.6,10.2,7.7,2.745,0.02,0.01,0.02,0.02,0,0.01,0.07,0.37,0.31,0.02,0.11,0.02,0.13
37,North Carolina,6393707,1110713,16.8,2.4,80.8,1203385,57.7,11.3,31,2786293,69.7,20.3,10,1293316,59.8,27.8,8.9,3.5,2.99,0,0.01,0.02,0,0,0,0.01,0.09,0.76,0.01,0.08,0.02,0.1
38,North Dakota,512281,103696,12,1.2,86.8,76616,59.4,9.2,31.5,212725,75,15.2,9.8,119244,61.5,27.6,5.6,5.3,3.626,0,0,0.01,0,0.02,0,0.01,0.3,0.59,0,0.06,0,0.06
39,Ohio,8952721,1540981,11.1,1.7,87.2,1513761,55.5,11.5,32.9,3936763,69.1,20.1,10.8,1961216,58.3,28.1,9.4,4.2,2.823,0,0.01,0.02,0.01,0,0,0.01,0.21,0.57,0.01,0.12,0.02,0.13
40,Oklahoma,2717552,514379,18.6,3.2,78.3,447029,62,14.4,23.6,1157118,70.9,21.8,7.3,599026,60.9,26.6,10,2.5,2.821,0,0.01,0.02,0,0,0,0.01,0.11,0.74,0,0.07,0.02,0.09
41,Oregon,2722134,471136,13.9,1.9,84.1,469196,56,11.5,32.4,1211736,68.9,21.3,9.8,570066,60.7,24.9,11.5,2.9,2.855,0,0.02,0.03,0,0.05,0,0.01,0.13,0.46,0.03,0.18,0.06,0.24
42,Pennsylvania,9861713,1595429,9.5,1.2,89.2,1550861,53.6,9,37.3,4283589,69.4,18,12.6,2431834,57.4,29,7.7,5.9,2.937,0,0.01,0.01,0.02,0,0,0.02,0.3,0.51,0.01,0.08,0.02,0.1
44,Rhode Island,841503,146930,8.3,1.1,90.7,139298,49.7,9.8,40.5,363273,67.9,19.2,12.9,192002,54.9,29,9.3,6.9,2.734,0,0.02,0.04,0.01,0,0,0.01,0.49,0.21,0.01,0.17,0.04,0.21
45,South Carolina,3168918,572908,14.9,2.1,83,553641,55.8,12.3,31.9,1390765,67.8,21.7,10.6,651604,58.6,29,8.7,3.7,2.739,0,0,0.02,0,0,0,0.01,0.09,0.78,0.01,0.06,0.01,0.07
46,South Dakota,589612,115253,13.5,1.6,84.9,90196,60.4,10.4,29.2,246895,73.3,17.1,9.6,137268,62.2,26.5,6.8,4.5,3.393,0,0,0.02,0,0,0,0,0.2,0.64,0.02,0.09,0.02,0.11
47,Tennessee,4522630,777702,17.1,3,79.9,811562,58.7,13.7,27.6,1991296,69.1,21.6,9.3,942070,58.8,28.3,9.6,3.4,2.755,0,0,0.01,0,0.01,0,0,0.06,0.8,0.01,0.07,0.02,0.09
48,Texas,15937643,3146750,18.4,2.5,79.1,3132829,60.4,11.6,28,6890626,70.6,20.3,9.1,2767438,60.3,26.5,10.2,3.1,3.152,0.01,0.01,0.01,0,0.01,0,0.01,0.22,0.6,0.01,0.08,0.02,0.09
49,Utah,1639688,441796,21.8,1.9,76.3,325344,68.8,9.4,21.8,619642,76.3,16.6,7,252906,67.3,22.4,8.2,2.2,4.393,0,0.01,0.02,0.01,0.63,0,0,0.08,0.11,0.01,0.1,0.03,0.13
50,Vermont,488281,84058,9.2,1,89.7,74055,55.2,9.9,34.9,228912,70.4,19.1,10.5,101256,58.7,26.3,9.9,5.2,3.04,0,0.02,0.03,0,0.01,0,0.01,0.27,0.36,0.03,0.12,0.09,0.2
51,Virginia,5623628,957054,13.8,2,84.2,1028034,55.8,11,33.2,2574417,69.9,19.1,10.9,1064123,58.9,27.4,9.6,4.2,3.078,0.01,0.01,0.02,0.01,0.01,0,0.01,0.12,0.63,0.01,0.12,0.02,0.15
53,Washington,4639522,812015,13.1,1.9,85,839617,55.6,11,33.4,2115094,69,20.5,10.5,872796,61.1,24.3,11.5,3,3.005,0.01,0.02,0.04,0.01,0.02,0,0.01,0.16,0.5,0.02,0.15,0.03,0.19
54,West Virginia,1479301,245720,16,2.5,81.5,227601,61.7,12.9,25.4,642368,71.7,19.9,8.4,363612,56.7,30.7,8.3,4.2,2.774,0,0,0.01,0,0,0,0,0.08,0.71,0.01,0.14,0.02,0.16
55,Wisconsin,4239561,763683,10.5,1.2,88.2,702517,57.3,9.3,33.5,1864303,72,17.2,10.8,909058,61.4,26.1,7.8,4.7,3.388,0,0,0.02,0.01,0,0,0,0.3,0.49,0,0.12,0.02,0.14
56,Wyoming,390845,75182,15.4,2.6,82.1,59624,61.3,14,24.7,178817,73.2,19.6,7.2,77222,62.6,24.9,10.2,2.3,3.138,0,0.01,0.01,0,0.06,0,0.02,0.22,0.51,0.01,0.12,0.02,0.15
11,.District of Columbia....,474417,89882,11.6,2.5,85.8,101063,25.8,6.8,67.4,191455,37.6,25,37.4,92017,36.4,31.2,18.4,13.9,1.384,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.986,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.406,,,,,,,,,,,,,
